what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980319623
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980321729
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980336636
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980342322
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980373792
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980375013
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980377152
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980378662
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980381366
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980407170
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980424480
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980428984
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980432148
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980437580
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980512584
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980550292
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980566517
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367980568227
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980643168
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980665907
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980680207
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980698448
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367980881225
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980895299
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367980896920
