what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1367815981748
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.TypeHierarchy",1367815982270
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1367815982993
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367815997939
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816042881
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816043054
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816056441
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816065041
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1367816139051
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367816139069
closed,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1367816139084
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1367816139689
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367816139708
closed,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1367816139719
started,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1367816139896
started,bundle,org.eclipse.mylyn.resources.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.resources.ui",1367816139925
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1367816139942
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.2.v20090912-0400-e3x,"org.eclipse.mylyn.wikitext.core",1367816139959
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1367816139984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816171305
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816179691
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816640840
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816641874
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816776011
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1367816786931
